,bd_rate
4x4-1-8x8-1,0.13479599100909567
4x4-1-8x8-2,0.13479599100909567
4x4-1-8x8-3,0.13479599100909567
4x4-1-8x8-SAD,0.042735291039086576
4x4-3-8x8-SAD,0.12542920228280074
4x4-3,-0.06467021325056166
8x8-1,0.04617976709058169
8x8-2,0.03644397291791002
8x8-3,0.05805003122121288
8x8-SAD,0.08640146820888539
4x4-1-8x8-1,0.7895695402371894
4x4-1-8x8-2,0.7895695402371894
4x4-1-8x8-3,0.7895695402371894
4x4-1-8x8-SAD,0.03372602517015544
4x4-3-8x8-SAD,0.3903942394171578
4x4-3,0.45606331908958353
8x8-1,0.28106119759920833
8x8-2,0.32700926526136875
8x8-3,1.025185516523286
8x8-SAD,0.4161906249114944
4x4-1-8x8-1,0.47194084463517694
4x4-1-8x8-2,0.47194084463517694
4x4-1-8x8-3,0.47194084463517694
4x4-1-8x8-SAD,-0.09257165767857511
4x4-3-8x8-SAD,-0.36811603109939695
4x4-3,0.06324184600241534
8x8-1,-0.12755436228469863
8x8-2,-0.21355180488555892
8x8-3,0.34326348051507694
8x8-SAD,0.21688099663847993
